case,stem,mapping,pred_path,gt_path,shape,lumen_dice,lumen_iou,lumen_precision,lumen_recall,vessel_wall_dice,vessel_wall_iou,vessel_wall_precision,vessel_wall_recall
065,065_VL1,identity,sample_output/065/065_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/065/065_VL1_label_hwf.npy,512x512x351,0.8312766736008239,0.7112690016737993,0.7469650105909976,0.9370428619531385,0.411606779022277,0.2591340567223749,0.9324832376589293,0.264089077826606
066,066_VL1,identity,sample_output/066/066_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/066/066_VL1_label_hwf.npy,512x512x351,0.7633816398295843,0.6173138491364338,0.6849968747285744,0.8620237367656369,0.36826921448682415,0.2256923861193219,0.8149953177024086,0.2378795195870844
067,067_VL1,identity,sample_output/067/067_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/067/067_VL1_label_hwf.npy,512x512x351,0.7673838551963001,0.6225651500926185,0.6719702866545755,0.8943771409657216,0.44186660053350574,0.28358714387664186,0.9063478947067739,0.29214789587459494
068,068_VL1,identity,sample_output/068/068_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/068/068_VL1_label_hwf.npy,512x512x401,0.812740794625485,0.6845521103953959,0.7533003787771183,0.8823652914844159,0.2882373322925366,0.16838627090668373,0.7784277629771813,0.17686325397505712
069,069_VL1,identity,sample_output/069/069_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/069/069_VL1_label_hwf.npy,512x512x351,0.7146618038861482,0.5560107106805728,0.6529425038972417,0.7892671745364872,0.2662580529909371,0.15357421180831893,0.5657709879535129,0.174094395725725
070,070_VL1,identity,sample_output/070/070_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/070/070_VL1_label_hwf.npy,512x512x351,0.7745933397574554,0.6321112532586857,0.736179012086787,0.8172373471563955,0.3695995197198484,0.22669247475708554,0.693446413110102,0.2519405756424838
071,071_VL1,identity,sample_output/071/071_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/071/071_VL1_label_hwf.npy,512x512x301,0.8074136616846788,0.6770274283246045,0.7213296526373089,0.916828666193235,0.34616512470244654,0.20931057258069097,0.8552431904798735,0.21699827978605496
072,072_VL1,identity,sample_output/072/072_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/072/072_VL1_label_hwf.npy,512x512x251,0.7894773472133761,0.6521789124689231,0.7233986908737675,0.8688414310289403,0.490329716838995,0.3247925870358421,0.7757226514529838,0.3584528142144634
073,073_VL1,identity,sample_output/073/073_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/073/073_VL1_label_hwf.npy,512x512x351,0.759585363409875,0.6123640764978073,0.7430875421121653,0.7768323780962997,0.31310886746550115,0.1856129666145469,0.6132613699122882,0.21021968113715447
074,074_VL1,identity,sample_output/074/074_VL1_cropped_pred_like_gt_hwf.npy,sample_gt_cropped/074/074_VL1_label_hwf.npy,512x512x300,0.8167332126429734,0.6902358972377214,0.7474461223191933,0.9001783415949794,0.32705903380136775,0.1954994470274304,0.9467932261393734,0.19767115091531662
